date,demand
2023-01-01,120
2023-01-02,115
2023-01-03,125
2023-01-04,130
2023-01-05,135
2023-01-06,140
2023-01-07,145
2023-01-08,125
2023-01-09,128
2023-01-10,132
2023-01-11,136
2023-01-12,142
2023-01-13,148
2023-01-14,155
2023-01-15,130
2023-01-16,133
2023-01-17,138
2023-01-18,144
2023-01-19,150
2023-01-20,158
2023-01-21,135
2023-01-22,138
2023-01-23,143
2023-01-24,149
2023-01-25,156
2023-01-26,164
2023-01-27,140
2023-01-28,143
2023-01-29,148
2023-01-30,154
2023-01-31,162
2023-02-01,145
2023-02-02,148
2023-02-03,153
2023-02-04,159
2023-02-05,167
2023-02-06,175
2023-02-07,150
2023-02-08,153
2023-02-09,158
2023-02-10,164
2023-02-11,172
2023-02-12,180
2023-02-13,155
2023-02-14,160
2023-02-15,165
2023-02-16,172
2023-02-17,180
2023-02-18,188
2023-02-19,162
2023-02-20,165
2023-02-21,170
2023-02-22,178
2023-02-23,186
2023-02-24,195
2023-02-25,168
2023-02-26,172
2023-02-27,178
2023-02-28,185
2023-03-01,175
2023-03-02,178
2023-03-03,183
2023-03-04,190
2023-03-05,198
2023-03-06,206
2023-03-07,180
2023-03-08,183
2023-03-09,188
2023-03-10,195
2023-03-11,203
2023-03-12,211
2023-03-13,185
2023-03-14,190
2023-03-15,195
2023-03-16,202
2023-03-17,210
2023-03-18,218
2023-03-19,192
2023-03-20,195
2023-03-21,200
2023-03-22,208
2023-03-23,216
2023-03-24,225
2023-03-25,198
2023-03-26,202
2023-03-27,208
2023-03-28,215
2023-03-29,223
2023-03-30,231
2023-03-31,205
2023-04-01,208
2023-04-02,213
2023-04-03,220
2023-04-04,228
2023-04-05,236
2023-04-06,210
2023-04-07,213
2023-04-08,218
2023-04-09,225
2023-04-10,233
2023-04-11,241
2023-04-12,215
2023-04-13,220
2023-04-14,225
2023-04-15,232
2023-04-16,240
2023-04-17,248
2023-04-18,222
2023-04-19,225
2023-04-20,230
2023-04-21,238
2023-04-22,246
2023-04-23,255
2023-04-24,228
2023-04-25,232
2023-04-26,238
2023-04-27,245
2023-04-28,253
2023-04-29,261
2023-04-30,235
2023-05-01,238
2023-05-02,243
2023-05-03,250
2023-05-04,258
2023-05-05,266
2023-05-06,240
2023-05-07,243
2023-05-08,248
2023-05-09,255
2023-05-10,263
2023-05-11,271
2023-05-12,245
2023-05-13,250
2023-05-14,255
2023-05-15,262
2023-05-16,270
2023-05-17,278
2023-05-18,252
2023-05-19,255
2023-05-20,260
2023-05-21,268
2023-05-22,276
2023-05-23,285
2023-05-24,258
2023-05-25,262
2023-05-26,268
2023-05-27,275
2023-05-28,283
2023-05-29,291
2023-05-30,265
2023-05-31,270
2023-06-01,275
2023-06-02,282
2023-06-03,290
2023-06-04,298
2023-06-05,272
2023-06-06,275
2023-06-07,280
2023-06-08,288
2023-06-09,296
2023-06-10,305
2023-06-11,278
2023-06-12,283
2023-06-13,288
2023-06-14,295
2023-06-15,303
2023-06-16,311
2023-06-17,285
2023-06-18,288
2023-06-19,293
2023-06-20,301
2023-06-21,309
2023-06-22,318
