Date,StoreID,ProductID,ProductName,Category,SubCategory,City,Region,Price,DiscountPct,PromotionFlag,CompetitionPrice,Season,HolidayFlag,HolidayName,AdSpend,UnemploymentRate,Inflation,Temperature,Precipitation,MedianIncome,CompetitorStoresNearby,MonthlySales
2017-01-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1448,5,0,1231,Spring,0,,9426,6.21,4.67,22,151,61090,2,264
2017-02-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1451,25,0,1453,Festive,0,,17309,3.05,3.12,24,187,78319,15,471
2017-03-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1310,0,1,1334,Autumn,0,,8556,7.25,3.85,21,17,30627,14,216
2017-04-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1312,0,0,1424,Spring,0,,14670,7.27,7.17,17,80,46531,18,493
2017-05-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1313,5,0,1161,Autumn,0,,19737,8.43,7.7,18,13,52606,16,240
2017-06-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1511,0,0,1374,Festive,0,,12916,4.9,7.14,39,187,28571,13,334
2017-07-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1324,0,0,1174,Summer,0,,7027,5.05,3.07,33,80,53159,3,178
2017-08-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1520,20,0,1538,Monsoon,0,,11278,8.95,5.25,15,47,55222,5,77
2017-09-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1473,20,0,1519,Autumn,0,,13110,7.99,6.8,37,141,45446,9,150
2017-10-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1301,5,0,1505,Winter,0,,7790,6.33,5.82,18,150,26374,13,401
2017-11-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1295,20,0,1188,Summer,0,,8157,9.16,6.12,39,133,49467,12,292
2017-12-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1387,15,1,1445,Festive,0,,15429,3.77,4.14,39,115,75016,3,436
2018-01-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1424,10,0,1296,Monsoon,0,,6998,4.18,4.09,38,179,74384,17,201
2018-02-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1554,5,0,1427,Summer,0,,16191,3.26,6.05,16,53,20854,5,162
2018-03-01,Store_1,P01,Men_TShirt,Men,Topwear,Mumbai,West,1385,0,0,1544,Winter,0,,14925,4.69,6.36,25,183,73370,17,209
